symbol,company_name,sector_33,market_category,scale_category,is_financial,low_liquidity_candidate,include_for_collection,priority_score
3106,倉敷紡績,繊維製品,プライム（内国株式）,TOPIX Small 1,0,1,1,13106
3107,ダイワボウホールディングス,卸売業,プライム（内国株式）,TOPIX Mid400,0,0,1,13107
3109,シキボウ,繊維製品,プライム（内国株式）,TOPIX Small 2,0,1,1,13109
3110,日東紡績,ガラス・土石製品,プライム（内国株式）,TOPIX Small 1,0,1,1,13110
3116,トヨタ紡織,輸送用機器,プライム（内国株式）,TOPIX Mid400,0,0,1,13116
3132,マクニカホールディングス,卸売業,プライム（内国株式）,TOPIX Mid400,0,0,1,13132
3139,ラクト・ジャパン,卸売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13139
3148,クリエイトＳＤホールディングス,小売業,プライム（内国株式）,TOPIX Small 1,0,1,1,13148
3150,グリムス,電気・ガス業,プライム（内国株式）,TOPIX Small 2,0,1,1,13150
3151,バイタルケーエスケー・ホールディングス,卸売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13151
3153,八洲電機,卸売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13153
3154,メディアスホールディングス,卸売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13154
3156,レスター,卸売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13156
3167,ＴＯＫＡＩホールディングス,卸売業,プライム（内国株式）,TOPIX Small 1,0,1,1,13167
3176,三洋貿易,卸売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13176
3179,シュッピン,小売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13179
3180,ビューティガレージ,卸売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13180
3182,オイシックス・ラ・大地,小売業,プライム（内国株式）,TOPIX Small 1,0,1,1,13182
3183,ウイン・パートナーズ,卸売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13183
3186,ネクステージ,小売業,プライム（内国株式）,TOPIX Small 1,0,1,1,13186
3191,ジョイフル本田,小売業,プライム（内国株式）,TOPIX Small 1,0,1,1,13191
3193,エターナルホスピタリティグループ,小売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13193
3196,ホットランドホールディングス,小売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13196
3197,すかいらーくホールディングス,小売業,プライム（内国株式）,TOPIX Mid400,0,0,1,13197
3198,ＳＦＰホールディングス,小売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13198
3199,綿半ホールディングス,小売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13199
3201,日本毛織,繊維製品,プライム（内国株式）,TOPIX Small 1,0,1,1,13201
3221,ヨシックスホールディングス,小売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13221
3231,野村不動産ホールディングス,不動産業,プライム（内国株式）,TOPIX Mid400,0,0,1,13231
3232,三重交通グループホールディングス,不動産業,プライム（内国株式）,TOPIX Small 2,0,1,1,13232
3245,ディア・ライフ,不動産業,プライム（内国株式）,TOPIX Small 2,0,1,1,13245
